Article_Name,Article_Link,Article_Text_0,Article_Text_1,Article_Text_2,Article_Text_3,Article_Text_4,Article_Text_5,Article_Text_6,Article_Text_7,Article_Text_8,Article_Text_9,Article_Text_10,Article_Text_11,Article_Text_12,Article_Text_13,Article_Text_14,Article_Text_15,Article_Text_16,Article_Text_17,Article_Text_18,Article_Text_19,Article_Text_20,Article_Text_21,Article_Text_22,Article_Text_23,Article_Text_24,Article_Text_25,Article_Text_26,Article_Text_27,Article_Text_28,Article_Text_29,Article_Text_30,Article_Text_31,Article_Text_32,Article_Text_33,Article_Text_34,Article_Text_35,Article_Text_36,Article_Text_37,Article_Text_38,Article_Text_39,Article_Text_40
ITS Helpdesk Drop-Off Center,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137638,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p><span></span><span>The DOC(drop off center) is a student operated hardware repair service operating out of the ITS Helpdesk on the first floor of the CMC. The purpose of this service is to help repair student’s personal computers.</span></p>
<h2 dir=""ltr""><span>Hours</span></h2>
<p dir=""ltr""><span>The DOC is open 8am-5pm M-F during term. Keep in mind that the last two weeks of term we do not accept drop offs, other than issues related to comps.</span></p>
<h2 dir=""ltr""><span>Location</span></h2>
<p dir=""ltr""><span>The DOC operates out of the ITS Helpdesk, on the </span><a href=""https://apps.carleton.edu/map/cmc/floors/1/"">1st floor of the CMC</a>. </p>
<h2 dir=""ltr""><span>Liquid Spills</span></h2>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><strong>Power off</strong> your device immediately</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><strong>Unplug</strong> your device, <strong>remove batteries</strong> if possible</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Leave your device off for at least <strong>48</strong> hours</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Bring your device to the ITS Helpdesk to have trained technicians assess and address any damage. </span></p>
</li>
</ol>
<div dir=""ltr"" style=""background: #EEEEEE; border: 1px solid #CCCCCC; padding: 5px 10px""><span><span aria-label=""icon"" role=""region"" tabindex=""-1""><span class=""fa fa-exclamation-triangle"" style=""color: #000000""></span></span><strong>Do NOT put the device in rice to dry!</strong></span><span></span><span><br/>
Rice limits air circulation which can slow the drying process. Worse, rice particles can get into the device, making problems worse! Do <strong>NOT</strong> put devices into rice after a spill. Instead, prop your device up and aim a small fan at it.</span></div>
<h2 dir=""ltr""><span>Submitting a DOC Ticket</span></h2>
<p dir=""ltr""><span>If you would like to submit a ticket for your drop off in advance, follow these steps.</span></p>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Visit </span><a href=""http://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Click on </span><strong>Open a Ticket</strong> on the left side of the page</p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Select </span><strong>Hardware &amp; Software</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Scroll down to find and click on </span><strong>Student Drop-Off </strong>(note: you can only see this option if you are signed in)</p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Click on </span><strong>Request Service</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Fill in all the necessary information and click </span><strong>Request</strong></p>
</li>
</ol>
<h2 dir=""ltr""><span>Preparing for a Drop Off</span></h2>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Bring your computer</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>The power cord</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Any accessories that may be related to your issue</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>An external hard drive to back up your data (if you have one)</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Be ready to answer questions about the history of your computer, and details on the issue</span></p>
</li>
</ol>
<h2 dir=""ltr""><span>Repair timeline</span></h2>
<p dir=""ltr""><span>The goal of the DOC is three days or fewer, but this differs case by case.</span></p>
<h2>Cost</h2>
<p>The Student Drop Off Center will repair student's devices free of charge, except the cost of any parts that need to be ordered.</p>
<h2 dir=""ltr""><span>Communications</span></h2>
<p dir=""ltr""><span>The DOC student workers will send detailed updates through email or a phone call, every 1-2 days(can vary by case).</span></p>
<h2 dir=""ltr""><span>Other Repairs Covered</span></h2>
<ul style=""list-style-type: disc"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Virus removal</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Software troubleshooting</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Basic hardware repairs. </span></p>
</li>
</ul>
<h2 dir=""ltr""><span>Questions?</span></h2>
<p dir=""ltr""><span>Please contact the ITS Helpdesk for assistance: </span><a href=""https://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a> or <a href=""tel:507-222-5999"">507-222-5999</a></p>
<div><span></span></div></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVs in Faculty & Staff Campus Housing,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=146185,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p>Carleton provides <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=142221#housing"">network TV channels</a> in campus housing through a coaxial cable connected to an antenna. Carleton does not provide Cable TV.</p>
<p>Use our network registration system to connect <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136853"">WiFi TVs</a> or <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=136852"">TVs with ethernet</a> connections.</p></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duo: Quick Start Guide,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137061,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p><span></span></p>
<p dir=""ltr""><span>At Carleton, we use a service called Duo to provide more security to your account. Duo provides 2-factor authentication, protecting your account from hackers by requiring a push notification on your phone, a phone call, a text, or a second security code in addition to your regular username and password.</span></p>
<h2 dir=""ltr""><span></span>Setting Up Two Factor Authentication</h2>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><img alt="""" src=""https://stolafcarleton.teamdynamix.com/TDPortal/Images/Viewer?fileName=8061c9cf-4c84-48b8-97cc-07b4483392c1.png"" style=""margin-left: 10px; margin-right: 10px; float: right; width: 250px; height: 150px""/>If you are new to Duo at Carleton, and if Duo is required for your account, you will see a prompt to begin setting up Duo when you log into your Carleton account. Click <strong>Start setup</strong> and then follow the prompts.</p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Select the device you would like to set up (links open in a new page)</span></p>
<ol style=""list-style-type: lower-alpha"">
<li>
<p dir=""ltr"" role=""presentation""><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137062"" target=""_blank""><span>Smartphone</span></a></p>
</li>
<li>
<p dir=""ltr"" role=""presentation""><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137063"" target=""_blank""><span>Tablet</span></a></p>
</li>
<li>
<p dir=""ltr"" role=""presentation""><span><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137064"" target=""_blank"">Duo Key-Fob</a> can be requested from ITS if you do not have a phone</span></p>
</li>
<li>
<p dir=""ltr"" role=""presentation""><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137065"" target=""_blank""><span>Landline or not-smart Phone</span></a></p>
</li>
</ol>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span> <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137067"">Retrieve backup codes</a>. This is necessary in case you lose your device, it gets stolen, or something doesn't work properly</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Configure a backup device, if possible: </span><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137898"">Adding a new Device</a></p>
</li>
</ol>
<p dir=""ltr"" role=""presentation""><span></span></p>
<p dir=""ltr"" role=""presentation"">Duo also provides <a href=""http://guide.duo.com/enrollment"" target=""_blank"">an illustrated guide to device set-up</a>.</p>
<h3 dir=""ltr""><span>Choose an Authentication Method</span></h3>
<p dir=""ltr""><span>Use one of the following authentication methods on your configured device to login.</span></p>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><a href=""https://guide.duo.com/prompt""><span>Duo Push Notification</span></a></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span><a href=""https://guide.duo.com/other-phones"">Call Me</a> (authentication phone calls will come from the ITS Helpdesk, 507-222-5999)</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Passcode</span></p>
<ol>
<li>
<p dir=""ltr"" role=""presentation""><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137070"">Passcodes</a> generated by your phone (even without wifi or cell data)</p>
</li>
<li>
<p dir=""ltr"" role=""presentation""><a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137067"">Backup Codes</a> you can pre-generate for yourself for times when you won't have your phone</p>
</li>
</ol>
</li>
</ol>
<h2>Recommended Options</h2>
<ul>
<li>
<p><a href=""http://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137068"">Streamlining Duo authentication</a></p>
</li>
<li>
<p><a href=""http://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137066"">Prepare for extended stays away from campus</a></p>
</li>
</ul>
<div>
<h2>Need Help?</h2>
<p>Please contact the ITS Helpdesk for assistance: <a href=""https://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a> or <a href=""tel:507-222-5999"">507-222-5999</a></p>
</div></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duo & GlobalProtect: Troubleshooting Blank Login Screens and Cookie access,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=138502,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p>Duo (and therefore the GlobalProtect VPN) require cookies and javascript in order to function. If these are blocked, you may see a blank screen when you try to log in.</p>
<h2>Operating System Settings</h2>
<ul>
<li><strong>iOS and macOS Content Restrictions</strong> may need to be adjusted. <a href=""https://help.duo.com/s/article/3710?language=en_US"">Duo has instructions on how to do this</a>.</li>
</ul>
<h2>Browser Settings</h2>
<div style=""background: #EEEEEE; border: 1px solid #CCCCCC; padding: 5px 10px"">NOTE: The GlobalProtect VPN uses specific browsers in the background: Internet Explorer (Windows 10, even if Edge is available), Microsoft Edge (Windows 11), Safari (macOS and iOS), and Chrome (Android only).</div>
<p>Where to find the key browser settings you'll need:</p>
<ul>
<li><strong>Chrome on computers and Android devices</strong>: <a href=""https://support.google.com/chrome/answer/95647?hl=en&amp;co=GENIE.Platform%3DiOS"">allow cookies</a> and enable javascript (3-dot menu &gt; settings &gt; Site Settings &gt; JavaScript)</li>
<li><strong>Chrome on iOS</strong>: Cookies and javascript are automatically enabled.<br/>
<em>NOTE: Chrome for iOS blocks one specific cookie that allows for the ""remember me for 60 days"" option. This is an issue created by Apple requirements that developers use <a href=""https://en.wikipedia.org/wiki/WebKit"">WebKit</a> to build browsers, and Webkit blocks this particular cookie.</em></li>
<li><strong>GlobalProtect Login Screen on iOS</strong>: There is currently no way to enable the cookies that are required for ""remember me"" on an iPhone or iPad when logging into the VPN. See the note on Chrome above.</li>
<li><strong>Internet Explorer (Windows 10 and earlier)</strong>: <a href=""https://support.microsoft.com/en-us/windows/delete-and-manage-cookies-168dab11-0753-043d-7c16-ede5947fc64d"">allow cookies</a> and <a href=""https://support.microsoft.com/en-us/topic/how-to-enable-javascript-in-windows-88d27b37-6484-7fc0-17df-872f65168279"">enable javascript</a></li>
<li><strong>Firefox</strong>: <a href=""https://support.mozilla.org/en-US/kb/websites-say-cookies-are-blocked-unblock-them"">allow cookies</a> and <a href=""https://support.mozilla.org/en-US/kb/javascript-settings-for-interactive-web-pages"">enable javascript</a></li>
<li><strong>Microsoft Edge</strong>: <a href=""https://support.microsoft.com/en-us/office/enable-cookies-6b018d22-1d24-43d9-8543-3d35ddb2cb52"">allow cookies</a> and <a href=""https://support.microsoft.com/en-us/office/enable-javascript-7bb9ee74-6a9e-4dd1-babf-b0a1bb136361"">enable javascript</a></li>
<li><strong>Safari for macOS</strong>: <a href=""https://support.apple.com/guide/safari/manage-cookies-and-website-data-sfri11471/mac"">allow cookies</a> (and be sure that ""Prevent cross-site tracking"" is <strong>unchecked</strong>) and <a href=""https://support.apple.com/guide/safari/security-ibrw1074/mac"">enable javascript</a></li>
<li><strong>Safari for iOS</strong>: tap <strong>Settings</strong> &gt; <strong>Safari</strong> and check to make sure that the <strong>Block All Cookies</strong> and <strong>Prevent Cross-Site Tracking</strong> options are turned off, then go to <strong>Settings &gt; Safari &gt; Advanced</strong> and make sure that JavaScript is turned on</li>
</ul></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duo Passcodes: Using Passcodes Without Wifi or Cell Data,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137070,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p><span></span></p>
<p dir=""ltr""><span>If you have the Duo app installed on your smartphone, you can have passcodes ready for Duo even if you don't have cell, data, or wireless access and cannot use the push notification or call me options.</span></p>
<h2 dir=""ltr""><span>How to Use Passcodes</span></h2>
<ul dir=""ltr"">
<li><span><a href=""https://guide.duo.com/iphone#passcodes"">Instructions for iOS</a></span></li>
<li><span><a href=""https://guide.duo.com/android#passcodes"">Instructions for Android</a></span></li>
</ul></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duo Setup: Duo Token (Key Fob),https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137064,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p><span></span></p>
<p dir=""ltr""><span>If you do not have a phone or have a problem with the current one, this small token generates access codes for you each time you need one.</span></p>
<h2>How to Request</h2>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Contact the ITS Helpdesk <strong>a week in advance</strong>, if possible, to request a key fob. You can call the Helpdesk at 507-222-5999, begin a chat session or create a ticket on our Client Portal at <a href=""http://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a></span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>The ITS Helpdesk will contact you through your ticket and you will receive an email when your key fob is ready to be picked up</span></p>
</li>
</ol></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duo Setup: Landline,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137065,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p><span></span><span>Another device that can be set up for Duo is a landline phone. This should not be used as your main Duo authentication device.</span></p>
<h2>How to Configure</h2>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Proceed to</span> <a href=""https://password.carleton.edu"">password.carleton.edu</a></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Under the heading </span><strong>Duo</strong> Two-Factor Authentication, click on the link <strong>Turn Two-Factor on(or off)</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Enroll in Two-Factor Authentication by clicking on </span><strong>Two-Factor Authentication (Recommended)</strong></p>
<ol style=""list-style-type: lower-alpha"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>All students, staff, and faculty are enrolled, and cannot disable two-factor. Two-factor is optional for Emeritus Faculty</span></p>
</li>
</ol>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Return to <a href=""https://password.carleton.edu"">password.carleton.edu</a>,</span> and select <strong>Manage Your Phones and Devices</strong> under the Duo heading</p>
<ol style=""list-style-type: lower-alpha"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>If it is not your first device, log in using any of the available options and then click on ""Add a device""</span></p>
</li>
</ol>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Click </span><strong>Start setup</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>On the next screen, select</span> <strong>Landline </strong>as your device and click <strong>continue</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Enter your</span> <strong>phone number</strong>, check the confirmation box and click <strong>continue</strong>.</p>
</li>
</ol>
<div dir=""ltr"" role=""presentation"" style=""background: #EEEEEE; border: 1px solid #CCCCCC; padding: 5px 10px""><span aria-hidden=""true"" aria-label=""icon"" role=""region"" tabindex=""-1""><span class=""fa fa-info-circle"" style=""color: #000000""></span></span>Whenever Duo calls you to give you an authentication code, the phone call will come from <strong>507-222-5999</strong>, the ITS Helpdesk phone number.</div></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duo Setup: Smartphone,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137062,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p><span></span></p>
<p dir=""ltr""><span>A majority of campus users have their own personal devices which makes access to two-factor authentication simple. Smartphones utilize the Duo Mobile app which takes very little to no data and storage. If you do not have a smartphone, check the <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137061#Setup"">other options for setting up Duo</a>.</span></p>
<h2>How to Configure </h2>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Proceed to <a href=""https://password.carleton.edu"">password.carleton.edu</a>.</span> We recommend visiting this site on a computer or <strong>separate device</strong> from the phone you are configuring</p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Under the heading </span><strong>Duo</strong> Two-Factor Authentication, click on the link <strong>Turn Two-Factor on (or off)</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Enroll in Two-Factor Authentication by clicking on</span> <strong>Two-Factor Authentication (Recommended)</strong></p>
<ol style=""list-style-type: lower-alpha"">
<li>
<p dir=""ltr"" role=""presentation""><span>All students, staff, and faculty are enrolled, and <strong>cannot</strong> disable two-factor. Two-factor is optional for Emeritus Faculty</span></p>
</li>
</ol>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Return to <span><a href=""https://password.carleton.edu"">password.carleton.edu</a></span></span>, and select <strong>Manage Your Phones and Devices</strong> under the Duo heading</p>
<ol style=""list-style-type: lower-alpha"">
<li>
<p dir=""ltr"" role=""presentation""><span>If it is not your first device, authenticate using the built-in Duo box and then click on <strong>Add a device </strong>and follow <a href=""https://guide.duo.com/add-device"" target=""_blank"">Duo's instructions on adding a new device (link opens in new tab)</a></span></p>
</li>
</ol>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Click </span><strong>Start setup</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>On the next screen, select</span> <strong>mobile phone</strong> as your device and click <strong>continue</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Enter your</span> <strong>phone number</strong>, check the confirmation box and click <strong>continue</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Select the </span><strong>Operating System</strong> that matches your phone, e.g. iPhone, Android, and <strong>continue</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Install the </span><strong>Duo Mobile App</strong> onto your phone</p>
<ul>
<li>
<p dir=""ltr"" role=""presentation""><a href=""https://apps.apple.com/us/app/duo-mobile/id422663827"">Duo Mobile on the iOS App Store</a></p>
</li>
<li>
<p dir=""ltr"" role=""presentation""><a href=""https://play.google.com/store/apps/details?id=com.duosecurity.duomobile&amp;hl=en_US&amp;gl=US"">Duo Mobile on the Google Play Store</a></p>
</li>
</ul>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Once you have the app installed, click </span><strong>I have Duo Mobile installed</strong> and follow the on-screen instructions to scan the <strong>QR code</strong> displayed.</p>
</li>
</ol></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duo Setup: Tablet,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137063,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p><span></span></p>
<p dir=""ltr""><span>Tablets work in a similar manner to smartphones but as most of them do not have cellular function, passcodes through text message and the call me option are unavailable.</span></p>
<h2 dir=""ltr"">How to Configure</h2>
<ol style=""list-style-type: decimal"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Proceed to <a href=""https://password.carleton.edu"">password.carleton.edu</a>. </span>We recommend visiting this site on a computer or <strong>separate device</strong> from the tablet you are configuring.</p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Under the heading </span><strong>Duo</strong> Two-Factor Authentication, click on the link <strong>Turn Two-Factor on(or off)</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Enroll in Two-Factor Authentication by clicking on </span><strong>Two-Factor Authentication (Recommended)</strong></p>
<ol style=""list-style-type: lower-alpha"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>All students, staff, and faculty are enrolled, and cannot disable two-factor. Two-factor is optional for Emeritus Faculty</span></p>
</li>
</ol>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Return to <a href=""https://password.carleton.edu"">password.carleton.edu</a>,</span> and select <strong>Manage Your Phones and Devices</strong> under the Duo heading</p>
<ol style=""list-style-type: lower-alpha"">
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>If it is not your first device, log in using any of the available options and then click on ""Add a device""</span></p>
</li>
</ol>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Click </span><strong>Start setup</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>On the next screen, select</span><strong> tablet</strong> as your device and click <strong>continue</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Select the </span>Operating System that matches your tablet (Apple(iOS), Android) and <strong>continue</strong></p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Install the </span><strong>Duo Mobile App</strong> onto your tablet</p>
</li>
<li dir=""ltr"">
<p dir=""ltr"" role=""presentation""><span>Once you have the app installed, click “</span><strong>I have Duo Mobile installed</strong>” and follow the on-screen instructions to configure your device. You will be prompted to scan a <strong>QR code</strong> with your tablet’s camera to complete the setup.</p>
</li>
</ol></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duo: Adding a new Device (e.g. got a new phone),https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137898,"<div class=""gutter-top break-word ckeShim clearfix"" id=""ctl00_ctl00_cpContent_cpContent_divBody""><p>When you get a new device, you'll need to set up Duo to work on it.</p>
<p>If the device is a smart phone, this needs to happen whether you got a new phone number or you've kept your same number. Because the phone has a new SIM card, Duo considers it a new device.</p>
<h2>Adding the New Device</h2>
<ol>
<li>Proceed to <a href=""https://password.carleton.edu/"">password.carleton.edu</a>. We recommend visiting this site on a computer or <strong>separate device</strong> from the one you are configuring

	<ul>
<li>If you do not have backup codes, Call Me, or any other devices set up to allow you to log in, please contact the ITS Helpdesk (<a href=""tel:507-222-5999"">507-222-5999</a> or an <a href=""https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/Requests/ServiceDet?ID=40491"" target=""_blank"">Account Issue ticket</a>)</li>
</ul>
</li>
<li>On the Passwords page, click on <strong>Manage your phones and devices</strong> under the Duo Two Factor Authentication heading</li>
<li>If you are prompted to, log in normally</li>
<li>Once you're at the <strong>My Settings and Devices</strong> screen, click the small <strong>+Add another Device</strong> link</li>
<li>Follow Duo's instructions on <a href=""https://guide.duo.com/add-device"">adding a new device</a></li>
</ol>
<h2>Need Help?</h2>
<p>Please contact the ITS Helpdesk for assistance: <a href=""https://go.carleton.edu/helpdesk"">go.carleton.edu/helpdesk</a> or <a href=""tel:507-222-5999"">507-222-5999</a>.</p>
<p> </p></div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
