Article_Name,Article_Link,Article_Text
Password Managers: Recommendations,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137726,"Password managers help you juggle all the passwords you need in your life, and are particularly useful for generating strong, long, random passwords. Free Options Bitwarden KeePass (Windows) or KeePassX (macOS, Windows, and Linux) Google Password Manager Keychain Access (macOS only) Paid Options LastPass (free versions limit you to a single device) 1Password"
Password Recovery Options Setup,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=146212,"These steps will help you change your password even if you forget your current password at some point in the future. If you have forgotten your password and have not previously setup either of these options, see the page on changing your password (link opens in a new tab) . Setting Up an Alternate Email (Highly Recommended!) Go to password.carleton.edu/sspr (link opens in new tab) Login with your Carleton credentials (username and password) Click Update Profile Enter your alternate email or emails (you can enter up to 2). Click Update Click the logout button in the top right corner of the page Setting Up Mobile Device Authentication Go to password.carleton.edu/sspr (link opens in new tab) Login with your Carleton credentials (username and password) Click Setup Mobile App Authentication (you will need to enter your password again) Follow the on-screen instructions Click Continue Enter the 6-digit verification code from your device. Click Check Code Copy down the Recovery Codes provided in case of future need If you get a new phone, you will need to delete the previous authenticator on password.carleton.edu/sspr (link opens in new tab) Click Setup Mobile App Authentication (you will need to enter your password again) Click Delete/Change Mobile Device Click OK Setup your new phone with the instructions above"
Proxy Accounts: Set-up Instructions,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137579,"Proxy Access at Carleton Proxy access at Carleton is what lets parents and guardians see the student's grades and financial information. What proxies can see is up to to what access the student has given. Proxy Account Creation Instructions The student must start the proxy account creation process on the hub under ""View/Add Proxy Access"". The student can select ""Add a Proxy"" and then ""Add Another User"". There the contact information and access privileges can be inputted. After the student does this, the rest of these instructions are for the proxy: You'll receive an email from Carleton's Business Office - businessoffice @ carleton.edu . It's a generic notice that says you've been granted access to the student's information. A second email is sent from the account provisioning system - fimservice @ carleton.edu . It'll contain your username and the link to the page where you will set their password. It may take up to 3 business days for this email to arrive. When resetting the password with the link, enter your username (from the fimservice email) and click Search button. Check your email for a message from Forgotten Password with a security code. Back on the reset password page, you can paste the security code in and click Check Code. You'll receive a confirmation and then be lead to a page to change your password. See our Proxy Accounts: Sign-In Instructions for how to sign in next. Note : As part of the SEAMS project, this system will ultimately transition into Workday. Please watch the SEAMS website for updates."
Proxy Accounts: Sign-in Instructions,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137580,"Note: If you don't have a Proxy account, before you can sign in, please see our set-up instructions . Sign-in Instructions Go to parenthub.carleton.edu Enter your username and password. You'll see a Person Proxy screen where you'll be asked which account you'd like to see. Select the student's name. Note: If the proxy did not select their student account but instead just selected themselves, the page will look quite empty. To switch over to their student's account information, the proxy should click on their username at the top-right of the screen and select Change Proxy User from the pulldown. You will be able to see only the things that their student has granted them access to. If something seems missing, you will need to discuss that with your student, as we have no control over what access is granted."
Proxy Accounts: Updating your Information,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=147092,"Update your Primary Email Address, Phone number, etc There are two options for updating your official contact information: Use the Parent/Guardian Information Update form email addresses@carleton.edu"
YouTube Premium and YouTube Music Premium accounts,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=154164,"Unfortunately, Google does not offer YouTube Premium or YouTube Music Premium accounts to Google Workspace accounts (the accounts we have at Carleton). These products are only available for personal accounts, which prohibit shared use. See Google's documentation for more details ."
Faxing With FreePBX,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140095,"FreePBX is the VoIP phone and fax system used at Carleton. Fax Accounts Faxing through FreePBX is available to Faculty and Staff. Students , please work with an office relevant to your needs if you need to send a fax. For example, talk to International Student Life or Off Campus Studies for visa faxing needs. Faculty and Staff: Sending a fax does not use the department fax number. Each individual wanting to send a fax needs to submit a Fax Request Ticket to get this functionality activated. When activated, you will be able to send faxes via your personal FreePBX User Control Panel. (Helpdesk technicians: assign tickets to SIG/Zachary Krodel) Sending Faxes Sending faxes is done through the online phone portal called User Control Panel . ( Learn more about how you can manage your phone extension through the online portal ). Log in to the Online Portal: go.carleton.edu/voipdashboard using your Carleton user name and password. Click the “+” icon in the upper left corner, select the Fax module, and then click the “+” icon next to your phone extension. This will add the Fax module to your dashboard. To send a fax from the fax module: Click on Send Fax. Enter the full destination number including a prefix of “81” as shown below (8 is for an outside line and the 1 is for long distance). For international calling include the prefix ""8011"" and the country code. Choose the desired resolution of the file and/or add an optional cover sheet. Upload the document(s) that you would like to fax. Click Send. Receiving Faxes All faxes are received through Carleton email. You will not receive any faxes through the online phone portal. Departmental faxes are emailed to those assigned to receive them. Many times it is a Google group which allows multiple people to receive the faxes."
Instructions on how to use the Jabra Speak,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=139058,"Schedule your Zoom or Google Hangouts video conference meeting. Just prior to your meeting: Plug the Jabra Speak USB cable into the available USB port on your laptop . You can also turn the unit on by pressing and holding (2 seconds) the On/Off button. (The battery light is red when charging and green for one minute when fully charged). Place the Jabra Speak speakerphone in the middle of the table where everyone is about the same distance from it. SIGN INTO ZOOM for your meeting The host should log into your Zoom meeting Once in the meeting, the Zoom host needs to change their audio and microphone to the Jabra Speak. To do this, click on the up arrow next to the Mute icon. Click on the audio settings and change both the Speaker and Microphone settings to Jabra Speak and close the settings window The remaining people in the conference room need to Mute their audio if going into the Zoom meeting. The best way to do this is to click on the up arrow next to the Mute icon and click on leave computer audio . You are ready to start your meeting and the audio and microphone will be on the Jabra Speak. If you want to test the host can click on the up arrow next to the microphone and test your audio and microphone. USING Google Meet for your meeting Log into your Google Meet meeting Once logged in, click on the Check your audio and video button at the bottom of your screen Then click on the Audio & Video gear at the top of your screen The host needs to change both the audio and microphone setting to the Jabra Speak The remaining people in the conference room need to mute their audio. To mute your audio you just need to click on the Mute icon. You are ready to start your meeting and the audio and microphone will be on the Jabra Speak. Using Bluetooth on your Jabra Speak To connect the speaker and Jabra Speak via Bluetooth: 1. Press and hold (2 secs) the Bluetooth button on the Jabra Speak 710 until the Bluetooth light flashes blue. Release the button when you hear the connection instructions. 2. Plug the Jabra Link 370 into any available USB port on your computer. 3. The connection is established when the light turns solid blue. NOTE: Ensure that all Bluetooth devices previously connected to the Jabra Link 370 are switched off."
Scanning on Canon Multifunction Devices (MFDs),https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=145032,"In this article Scanning using the Canon Multi-Function Printers Ways to Scan/Receive the Scanned Document Scanning Settings Additional Information Scanning using the Multi-Function Printers Login by typing in your username and password or by scanning your oneCard on the panel. Choose Scan Choose My Personal Account or enter an Account Code if you have one Choose your preferred way of receiving the scanned document Choose your own options or leave them as default and then press Start At the end of the complete scan, you must choose the green Finish button within 1 hour, or the scan file will never be saved or sent. To logout of the MFD, choose the exit (door) icon after your name at the upper right of the screen or scan your OneCard again on the panel Ways to Scan/Receive the Scanned Document Scan to My Email: scans the document and sends it to your Carleton email. Scan for (cloud) OCR: adds searchable text to the ""pictures"" of your document pages, using a process called Optical Character Recognition. The PDF or Word file is uploaded to the PaperCut cloud service, text is interpreted in up to 10 languages (the same languages used with Microsoft Office, except Greek), and the resulting PDF or Word file with its searchable text is emailed to your Carleton email . Check the settings carefully before starting the scan. If the Orientation , Paper size , or Duplex mode setting does not match the actual paper document, the OCR interpretation will not work as expected. The interpretation may take some time, so please wait for the email. PaperCut does not retain any trace of your scan file after sending it to your Carleton email account. Scan to My Google Drive: does not send an email. Instead, it saves the scan file on your Carleton Google Drive , in a top-level folder labeled Scans for PaperCut MF . In this action, you might change the Filename field before starting the scan, to more easily find the scan file later. Scan to My Dropbox , works like the scanning to Google Drive, but saves the scan file in your Carleton Dropbox account , if you have one . It creates a top-level folder called Apps , then saves the scan file in a folder labeled Scans for PaperCut MF inside that Apps folder. In this action, you might change the Filename field before starting the scan, to more easily find the scan file later. PaperCut Scan settings Each PaperCut Scan Action starts with some assumptions about your paper document, displayed on the right side of the screen. If any of these settings does not match your actual paper document, the scan file may not capture what you want. Therefore, please review each setting before you start a scan, and use the ""Change settings"" button to adjust any setting. Duplex mode (default 1-sided): If your paper document is printed on both sides, you must change this to 2-sided. Orientation (default portrait): If your paper document is wider than it is tall when held in viewing position, change this to landscape. An OCR scan will fail if this is not correct. Paper size (default Letter): Match the size of your paper document. Letter is 8.5 x 11""; Legal is 8.5 x 14""; Ledger, also called Tabloid, is 11 x 17"". If your document is not any of these common paper sizes, choose the next larger size. If you do not choose a large enough paper size setting, the scan will appear ""chopped off""; it does not shrink the scan image to fit. File type (default PDF): If you know you need a different file type than Adobe PDF, choose it here. You might prefer to save graphic images or photographs in the JPEG format. Some document processing or storage systems may prefer files in the TIFF format. DPI (default 300): This is the resolution of the scan in dots per inch. The default of 300 dpi matches the lowest resolution of most printers today. Most fax machines send faxes with a maximum resolution of 200 dpi. Small images displayed on a Web page may use 100 (or 96) dpi. To create a smaller scan file, choose a lower resolution. For a sharper image, choose a higher resolution. Color mode (default color): Whether the scan file preserves any color from the original paper document. For a smaller scan file, choose Grayscale; Black & White is even smaller still. Prompt for more pages (default yes): Whether to continue prompting you for more pages when the current pages are done, or automatically stop the scan when the paper document has fed through. By default, it keeps prompting for more until you choose the green Finish button. If you forget to press Finish, the scan file will be discarded after 1 hour without being sent or saved. Other settings The Filename and Subject lines can be changed by pressing the text and typing in a new one using the touch-pad keyboard. The default scan settings shown on the right can be changed by choosing the gray Change settings button. Additional information Other types of OneCards – affiliate, department copy (deptcopy-), guest – cannot use the new PaperCut Scan Actions, but must use the old Canon MFD Scan and Send button. Friends of the College oneCards may not be able to login at all, so they can use the anonymous scan 1/0 manual login. At the end of the complete scan, you must choose the green Finish button within 1 hour, or the scan file will never be saved or sent. Every successful or failed scan will be followed up with an email from printmaster@carleton.edu telling you the status of the scan. Any action that sends the scan file by email (envelope icon) is limited to the size of a Gmail attachment, which is 20MB . Therefore, such actions will split the scan at every 20 pages. In any scan action that sends the scan file to a cloud storage service (cloud icon), the scan file size is limited to 200MB . Therefore, such actions will split the scan file every 200 pages. The first time you scan to either cloud service, like Google Drive or Dropbox, you will receive an email asking whether PaperCut can use your account in that service. Until you click the link in that email, your scan file will not be delivered to your cloud account. Once PaperCut has permission for a cloud service, it will not ask again. If your paper document is too big to be sent or saved, use Change settings to scan it again at a lower resolution or in a less colorful mode. Or just split the paper document into smaller parts and scan each part, like a chapter, separately."
Logitech Headset Introduction,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=111500,"Headset Layout and Button Guide See the full get started guide file, attached on the right."
ArcGIS: Copying Files to another ArcGIS Online Account,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=143878,"Whether you're leaving Carleton or have other reasons to transfer your ArcGIS files to a different account, here is how you can copy your Carleton ArcGIS files to another account. Copying Files to Another ArcGIS Online Account Go to the ArcGIS Online Assistant Log in with your Carleton ArcGIS Online account Select the task you want to perform: Copy Content Select the option for Another Account Follow the prompts to log into your other ArcGIS Online account and copy your content NOTE: This tool DOES NOT copy pictures if the pictures are saved with Web maps or apps , as opposed to uploaded as an item (if you don't see the picture in your content list, it is not uploaded as an item). To retrieve pictures saved with Web maps and apps, find the URLs for the pictures and download the pictures. The pictures will be deleted with the Web maps and apps when your files are deleted."
Amazon: Purchasing Restricted Items,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=143123,"Carleton College restricts some Amazon purchases, however Amazon sometimes applies this restriction to items that individuals and departments can certainly purchase for themselves. For example: adapters, keyboards and mice, and some computer cables may show up as Restricted when in fact people are welcome to purchase these things on their own. Please do NOT bypass these restrictions if you are ordering a computer or something similar. Please talk to ITS if you need to purchase high level technology. How to Purchase Navigate to the item that you will be purchasing. You may see a prompt stating that the item is organization restricted. Ignore the prompt, and add the item to your cart Continue shopping, or proceed to you cart Once you are in your cart, you might see a prompt stating that your cart contains items restricted by your organization. Ignore the prompt, and continue with the checkout​​​​​​​ Continuing with you checkout you might see a prompt stating your order requires approval. You do not need to provide comments for approval​​​​​​​ Select continue and proceed with the rest of your transaction Note: Your purchase will proceed to the business office to be approved or denied at the end of your transaction automatically"
CDW: Carleton's Computer Purchasing Portal,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=145388,"Carleton students, faculty, and staff can purchase a computer through our Computer Purchasing Portal . The site offers a number of bundles featuring laptops that meet our recommended baseline (or mid-tier) specifications, but also allows you to choose whatever options or equipment you feel best suits your needs or means. Equipment purchased through this portal is offered featuring Carleton's purchasing discount through CDW-G. Use this special link to create your account using your Carleton email address: cdwg.com/epp/2241236 Then view Carleton's purchasing portal to view Carleton's ""bundles"" (listed in the navigation bar) and other discounted items. Select the computer you would like to purchase Select a warranty (these are HIGHLY recommended as any liquid spill or dropped computer repair will far exceed the cost of the warranty) Our Bundles include a warranty, though if you buy a Windows computer we highly recommend that you add an Accidental Damage warranty to your order. If you do not select a Bundle, you will have to select your own warranty Check out Note that warranties are very important for college-bound laptops. Since modern laptops offer fewer component-level repair options, the cost of fixing the damage arising from a single drop or spill can easily justify the cost of the warranty."
Clearing Your Browser's Cache and Cookies,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=137761,"Clear your browser's Cache and Cookies Your browser stores a lot of information about websites, you, and (for example) your ability to log into websites in its Cache and Cookies. If these bits of code get messed up or out of date, this can result in all kinds of problems. So a good first step if you're having trouble with a website is to clear your browser's cache and cookies and then try again. Chrome instructions Firefox instructions Edge instructions Safari instructions Please note: If you have Duo set to ""remember"" you, this is a cookie, so after you clear your cache and cookies you'll have to go through the two-factor process the next time you log into Carleton sites."
"HEIC, HEIF, and HEVC image and video files",https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=150142,"Since 2017, Apple has relied on image and video file types HEIC, HEIF, and HEVC, which is compatible with iOS 11 or later and macOS 10.13 and later. Some other devices (such as some Galaxy phones) also use these formats. Selecting a Different File Format on your iPhone or iPad Go to Settings > Camera Tap Formats (if your device doesn't include this option, it may not be capable of capturing these special file formats. See Apple's information .) Tap Most Compatible All new photos and videos will now use JPEG or H.264 format - photos will no longer be ""live"" Opening or exporting these files on a Mac Apple provides information on using these file formats (link opens in a new tab) Opening these files on a Windows computer Images (heif) : Microsoft provides a free extension that allows you to open HEIF images (link opens in a new tab) ""Live"" Images (heic) : These include brief videos, so you can either use the video extension below or else use Google Drive to help you convert the photos (link opens in a new tab) . Videos (hevc) : For a small fee, Microsoft provides an extension that allows you to open HEVC movies (link opens in a new tab)"
Opening Private/Incognito Browsing Windows,https://stolafcarleton.teamdynamix.com/TDClient/2092/Carleton/KB/ArticleDet?ID=140607,"Private browsing windows (sometimes called Incognito Windows) allow you to visit web pages without referring to your browser's saved cache and cookies, and without allowing the websites to leave cache and cookies on your computer. If you're having trouble with a web page in your regular browsing windows, this is one way to see if the problem is because of your cache and cookies. If this solves the problem you were experiencing, clear your browser's cache and cookies to resolve the original issues. How to Open a Private/Incognito Window Safari: Open a Private Browsing Window Chrome: Open an Incognito Window Firefox: Open a Private Browsing Window Edge: Open an InPrivate Window"
